airport,time,capacity
A,1,5
A,2,3
A,3,2
A,4,3
A,5,5
A,6,5
A,7,3
A,8,5
A,9,2
A,10,3
A,11,3
A,12,3
A,13,4
A,14,4
A,15,2
A,16,2
A,17,4
A,18,2
A,19,3
A,20,5
A,21,4
A,22,3
A,23,2
A,24,4
A,25,5
A,26,4
A,27,2
A,28,3
A,29,2
A,30,3
A,31,3
A,32,5
A,33,4
A,34,5
A,35,4
A,36,5
A,37,3
A,38,2
A,39,3
A,40,3
A,41,3
A,42,5
A,43,2
A,44,2
A,45,5
A,46,5
A,47,5
A,48,5
A,49,4
A,50,2
A,51,3
A,52,5
A,53,2
A,54,3
A,55,4
A,56,5
A,57,3
A,58,5
A,59,3
A,60,3
A,61,5
A,62,2
A,63,2
A,64,4
A,65,2
A,66,5
A,67,3
A,68,5
A,69,5
A,70,4
A,71,2
A,72,2
A,73,3
A,74,3
A,75,2
A,76,2
A,77,4
A,78,2
A,79,2
A,80,4
A,81,5
A,82,3
A,83,2
A,84,5
A,85,3
A,86,5
A,87,5
A,88,2
A,89,4
A,90,5
A,91,4
A,92,5
A,93,5
A,94,3
A,95,5
A,96,2
NA,1,4
NA,2,4
NA,3,3
NA,4,5
NA,5,3
NA,6,3
NA,7,2
NA,8,4
NA,9,3
NA,10,3
NA,11,5
NA,12,3
NA,13,3
NA,14,4
NA,15,3
NA,16,5
NA,17,5
NA,18,4
NA,19,5
NA,20,2
NA,21,2
NA,22,5
NA,23,5
NA,24,4
NA,25,5
NA,26,5
NA,27,4
NA,28,5
NA,29,4
NA,30,5
NA,31,5
NA,32,2
NA,33,3
NA,34,4
NA,35,4
NA,36,3
NA,37,5
NA,38,2
NA,39,5
NA,40,2
NA,41,4
NA,42,4
NA,43,2
NA,44,3
NA,45,5
NA,46,5
NA,47,2
NA,48,3
NA,49,3
NA,50,3
NA,51,3
NA,52,5
NA,53,3
NA,54,5
NA,55,2
NA,56,3
NA,57,4
NA,58,2
NA,59,4
NA,60,2
NA,61,5
NA,62,5
NA,63,2
NA,64,3
NA,65,3
NA,66,3
NA,67,3
NA,68,3
NA,69,5
NA,70,2
NA,71,2
NA,72,5
NA,73,4
NA,74,4
NA,75,5
NA,76,2
NA,77,3
NA,78,3
NA,79,3
NA,80,5
NA,81,2
NA,82,3
NA,83,4
NA,84,5
NA,85,4
NA,86,5
NA,87,5
NA,88,5
NA,89,2
NA,90,2
NA,91,3
NA,92,2
NA,93,3
NA,94,5
NA,95,4
NA,96,2
B,1,4
B,2,2
B,3,3
B,4,4
B,5,5
B,6,5
B,7,3
B,8,2
B,9,2
B,10,2
B,11,3
B,12,3
B,13,4
B,14,4
B,15,4
B,16,5
B,17,3
B,18,2
B,19,4
B,20,3
B,21,3
B,22,5
B,23,5
B,24,5
B,25,3
B,26,5
B,27,3
B,28,2
B,29,2
B,30,2
B,31,2
B,32,2
B,33,4
B,34,3
B,35,2
B,36,4
B,37,3
B,38,3
B,39,5
B,40,5
B,41,4
B,42,4
B,43,3
B,44,4
B,45,5
B,46,4
B,47,2
B,48,3
B,49,3
B,50,3
B,51,4
B,52,3
B,53,4
B,54,5
B,55,5
B,56,2
B,57,5
B,58,5
B,59,4
B,60,3
B,61,5
B,62,3
B,63,4
B,64,2
B,65,2
B,66,2
B,67,4
B,68,2
B,69,3
B,70,3
B,71,3
B,72,4
B,73,5
B,74,4
B,75,5
B,76,3
B,77,5
B,78,3
B,79,2
B,80,3
B,81,5
B,82,5
B,83,5
B,84,4
B,85,2
B,86,4
B,87,2
B,88,2
B,89,5
B,90,3
B,91,5
B,92,3
B,93,3
B,94,3
B,95,2
B,96,4
C,1,4
C,2,4
C,3,2
C,4,4
C,5,3
C,6,5
C,7,4
C,8,2
C,9,4
C,10,3
C,11,2
C,12,3
C,13,4
C,14,5
C,15,5
C,16,2
C,17,2
C,18,2
C,19,5
C,20,2
C,21,3
C,22,4
C,23,5
C,24,2
C,25,3
C,26,4
C,27,4
C,28,3
C,29,5
C,30,4
C,31,2
C,32,3
C,33,5
C,34,5
C,35,5
C,36,3
C,37,5
C,38,3
C,39,5
C,40,5
C,41,4
C,42,2
C,43,2
C,44,4
C,45,3
C,46,2
C,47,4
C,48,2
C,49,2
C,50,4
C,51,4
C,52,3
C,53,5
C,54,2
C,55,4
C,56,5
C,57,3
C,58,5
C,59,4
C,60,2
C,61,4
C,62,3
C,63,4
C,64,2
C,65,4
C,66,4
C,67,3
C,68,3
C,69,4
C,70,4
C,71,2
C,72,5
C,73,2
C,74,3
C,75,2
C,76,4
C,77,4
C,78,2
C,79,4
